name	tune_min_sharpe	tune_mean_ann	holdout_sharpe	holdout_ret	alpha_influence	coverage	selection	eligible
mom_minus_vol s1 w0.25 sm14 noc	0.4381	0.0531	0.1058	0.0094	1.0000	100.00%	0.3082	True
mom_minus_vol s1 w0.25 sm14 c0.5	0.4381	0.0531	0.0617	0.0038	1.0000	100.00%	0.3082	True
mom_minus_vol s1 w0.25 sm14 c0.8	0.4381	0.0531	0.0120	-0.0024	1.0000	100.00%	0.3082	True
mom_minus_vol s1 w0.25 sm18 noc	0.4505	0.0544	0.7827	0.0987	1.0000	100.00%	0.3170	True
mom_minus_vol s1 w0.25 sm18 c0.5	0.4505	0.0544	0.7419	0.0926	1.0000	100.00%	0.3170	True
mom_minus_vol s1 w0.25 sm18 c0.8	0.4505	0.0544	0.6608	0.0805	1.0000	100.00%	0.3170	True
mom_minus_vol s1 w0.25 sm22 noc	0.4892	0.0583	0.7367	0.0913	1.0000	100.00%	0.3434	True
mom_minus_vol s1 w0.25 sm22 c0.5	0.4892	0.0583	0.6934	0.0850	1.0000	100.00%	0.3434	True
mom_minus_vol s1 w0.25 sm22 c0.8	0.4892	0.0583	0.5905	0.0705	1.0000	100.00%	0.3434	True
mom_minus_vol s1 w0.35 sm14 noc	0.4381	0.0531	-0.9057	-0.1004	1.0000	100.00%	0.3082	False
mom_minus_vol s1 w0.35 sm14 c0.5	0.4381	0.0531	-0.9565	-0.1050	1.0000	100.00%	0.3082	False
mom_minus_vol s1 w0.35 sm14 c0.8	0.4381	0.0531	-1.0150	-0.1098	1.0000	100.00%	0.3082	False
mom_minus_vol s1 w0.35 sm18 noc	0.4505	0.0544	-0.3426	-0.0401	1.0000	100.00%	0.3170	False
mom_minus_vol s1 w0.35 sm18 c0.5	0.4505	0.0544	-0.3904	-0.0449	1.0000	100.00%	0.3170	False
mom_minus_vol s1 w0.35 sm18 c0.8	0.4505	0.0544	-0.4979	-0.0555	1.0000	100.00%	0.3170	False
mom_minus_vol s1 w0.35 sm22 noc	0.4892	0.0583	-0.0334	-0.0071	1.0000	100.00%	0.3434	False
mom_minus_vol s1 w0.35 sm22 c0.5	0.4892	0.0583	-0.0784	-0.0122	1.0000	100.00%	0.3434	False
mom_minus_vol s1 w0.35 sm22 c0.8	0.4892	0.0583	-0.1967	-0.0253	1.0000	100.00%	0.3434	False
