name	min_sharpe	mean_sharpe	mean_ann_ret	mean_total_ret	lieflow_influence	coverage	composite	eligible
hybrid fb c0.50 s14 w0.2 e0.50-1.00	0.4358	0.9084	0.0704	0.2123	0.3968	99.92%	0.5154	True
hybrid fb c0.50 s14 w0.2 e0.75-1.00	0.4446	0.9122	0.0708	0.2134	0.3968	99.92%	0.5212	True
hybrid fb c0.50 s14 w0.3 e0.50-1.00	0.4167	0.9007	0.0694	0.2097	0.3968	99.92%	0.5029	True
hybrid fb c0.50 s14 w0.3 e0.75-1.00	0.4305	0.9068	0.0701	0.2115	0.3968	99.92%	0.5121	True
hybrid fb c0.50 s14 w0.4 e0.50-1.00	0.3960	0.8923	0.0684	0.2070	0.3968	99.92%	0.4895	True
hybrid fb c0.50 s14 w0.4 e0.75-1.00	0.4153	0.9008	0.0693	0.2095	0.3968	99.92%	0.5022	True
hybrid fb c0.50 s14 w0.5 e0.50-1.00	0.3746	0.8834	0.0673	0.2042	0.3968	99.92%	0.4754	True
hybrid fb c0.50 s14 w0.5 e0.75-1.00	0.3994	0.8944	0.0685	0.2074	0.3968	99.92%	0.4918	True
hybrid fb c0.50 s16 w0.2 e0.50-1.00	0.4511	0.9118	0.0706	0.2129	0.3968	99.92%	0.5241	True
hybrid fb c0.50 s16 w0.2 e0.75-1.00	0.4600	0.9157	0.0710	0.2141	0.3968	99.92%	0.5300	True
hybrid fb c0.50 s16 w0.3 e0.50-1.00	0.4315	0.9040	0.0696	0.2103	0.3968	99.92%	0.5113	True
hybrid fb c0.50 s16 w0.3 e0.75-1.00	0.4457	0.9102	0.0703	0.2121	0.3968	99.92%	0.5207	True
hybrid fb c0.50 s16 w0.4 e0.50-1.00	0.4106	0.8955	0.0685	0.2075	0.3968	99.92%	0.4977	True
hybrid fb c0.50 s16 w0.4 e0.75-1.00	0.4302	0.9041	0.0695	0.2101	0.3968	99.92%	0.5106	True
hybrid fb c0.50 s16 w0.5 e0.50-1.00	0.3889	0.8865	0.0674	0.2047	0.3968	99.92%	0.4835	True
hybrid fb c0.50 s16 w0.5 e0.75-1.00	0.4140	0.8977	0.0687	0.2079	0.3968	99.92%	0.5001	True
hybrid fb c0.50 s18 w0.2 e0.50-1.00	0.4455	0.9108	0.0707	0.2129	0.3968	99.92%	0.5211	True
hybrid fb c0.50 s18 w0.2 e0.75-1.00	0.4548	0.9148	0.0712	0.2141	0.3968	99.92%	0.5273	True
hybrid fb c0.50 s18 w0.3 e0.50-1.00	0.4254	0.9027	0.0697	0.2102	0.3968	99.92%	0.5080	True
hybrid fb c0.50 s18 w0.3 e0.75-1.00	0.4400	0.9091	0.0704	0.2121	0.3968	99.92%	0.5176	True
hybrid fb c0.50 s18 w0.4 e0.50-1.00	0.4040	0.8940	0.0686	0.2073	0.3968	99.92%	0.4941	True
hybrid fb c0.50 s18 w0.4 e0.75-1.00	0.4242	0.9029	0.0696	0.2099	0.3968	99.92%	0.5074	True
hybrid fb c0.50 s18 w0.5 e0.50-1.00	0.3818	0.8848	0.0675	0.2044	0.3968	99.92%	0.4796	True
hybrid fb c0.50 s18 w0.5 e0.75-1.00	0.4077	0.8963	0.0687	0.2077	0.3968	99.92%	0.4966	True
hybrid fb c0.50 s20 w0.2 e0.50-1.00	0.4435	0.8952	0.0694	0.2096	0.3968	99.92%	0.5150	True
hybrid fb c0.50 s20 w0.2 e0.75-1.00	0.4529	0.8992	0.0699	0.2109	0.3968	99.92%	0.5211	True
hybrid fb c0.50 s20 w0.3 e0.50-1.00	0.4230	0.8869	0.0683	0.2068	0.3968	99.92%	0.5016	True
hybrid fb c0.50 s20 w0.3 e0.75-1.00	0.4377	0.8933	0.0691	0.2088	0.3968	99.92%	0.5112	True
hybrid fb c0.50 s20 w0.4 e0.50-1.00	0.4013	0.8780	0.0672	0.2040	0.3968	99.92%	0.4874	True
hybrid fb c0.50 s20 w0.4 e0.75-1.00	0.4215	0.8869	0.0682	0.2066	0.3968	99.92%	0.5007	True
hybrid fb c0.50 s20 w0.5 e0.50-1.00	0.3789	0.8687	0.0661	0.2010	0.3968	99.92%	0.4727	True
hybrid fb c0.50 s20 w0.5 e0.75-1.00	0.4047	0.8802	0.0674	0.2044	0.3968	99.92%	0.4898	True
hybrid fb c0.50 s22 w0.2 e0.50-1.00	0.4239	0.8906	0.0690	0.2095	0.3968	99.92%	0.5036	True
hybrid fb c0.50 s22 w0.2 e0.75-1.00	0.4335	0.8947	0.0695	0.2107	0.3968	99.92%	0.5099	True
hybrid fb c0.50 s22 w0.3 e0.50-1.00	0.4031	0.8821	0.0680	0.2067	0.3968	99.92%	0.4900	True
hybrid fb c0.50 s22 w0.3 e0.75-1.00	0.4181	0.8887	0.0687	0.2086	0.3968	99.92%	0.4999	True
hybrid fb c0.50 s22 w0.4 e0.50-1.00	0.3811	0.8731	0.0668	0.2037	0.3968	99.92%	0.4757	True
