name	holdout_sharpe	holdout_ann	holdout_dd	composite	alpha_inf	beats_raw
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	0.2734	0.0157	-0.0976	0.3622	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	0.3069	0.0176	-0.0939	0.3949	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	0.2734	0.0157	-0.0976	0.3622	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	0.3069	0.0176	-0.0939	0.3949	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.4920	0.0309	-0.0934	0.5930	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.5263	0.0327	-0.0900	0.6266	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	0.5004	0.0315	-0.0931	0.6018	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.5348	0.0333	-0.0898	0.6355	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	0.3808	0.0223	-0.0884	0.4694	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.4135	0.0240	-0.0852	0.5014	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.25 neu0.70 boostmid+low	0.3808	0.0223	-0.0884	0.4694	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.25 neu0.70 boostmid	0.4135	0.0240	-0.0852	0.5014	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.35 neu0.55 boostmid+low	0.5960	0.0374	-0.0876	0.6990	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.35 neu0.55 boostmid	0.6285	0.0390	-0.0855	0.7317	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.35 neu0.70 boostmid+low	0.6000	0.0377	-0.0872	0.7031	1.0000	False
regime mom_resid_vol sm16 w0.25 cg1.05 cb0.80 mn0.35 neu0.70 boostmid	0.6335	0.0394	-0.0852	0.7368	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.25 neu0.55 boostmid+low	0.5507	0.0356	-0.0919	0.6552	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.5776	0.0369	-0.0895	0.6816	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.5507	0.0356	-0.0919	0.6552	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.5776	0.0369	-0.0895	0.6816	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.7194	0.0486	-0.0915	0.8367	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.7474	0.0499	-0.0893	0.8643	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.7277	0.0493	-0.0913	0.8454	1.0000	False
regime mom_resid_vol sm16 w0.25 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.7558	0.0506	-0.0891	0.8731	1.0000	False
regime mom_resid_vol sm16 w0.40 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	0.0473	0.0010	-0.1015	0.1244	1.0000	False
regime mom_resid_vol sm16 w0.40 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	0.0691	0.0024	-0.0987	0.1454	1.0000	False
regime mom_resid_vol sm16 w0.40 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	0.0473	0.0010	-0.1015	0.1244	1.0000	False
regime mom_resid_vol sm16 w0.40 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	0.0691	0.0024	-0.0987	0.1454	1.0000	False
regime mom_resid_vol sm16 w0.40 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.2621	0.0150	-0.0976	0.3502	1.0000	False
regime mom_resid_vol sm16 w0.40 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.2847	0.0163	-0.0952	0.3723	1.0000	False
