name	holdout_sharpe	holdout_ann	holdout_ret	holdout_dd	composite
raw sm20 L30S30	1.6819	0.1523	0.3255	-0.0758	1.8911
raw sm20 L5S5	1.6318	0.2883	0.6546	-0.1268	2.0151
raw sm20 L8S8	1.5799	0.2462	0.5490	-0.1271	1.9215
raw sm20 L10S10	1.6065	0.2345	0.5202	-0.1233	1.9334
raw sm20 L12S12	1.5957	0.2190	0.4825	-0.1173	1.9026
raw sm20 L15S15	1.6344	0.2072	0.4541	-0.1079	1.9225
raw sm20 L18S18	1.6775	0.1973	0.4305	-0.0980	1.9484
raw sm20 L20S20	1.7064	0.1916	0.4170	-0.0921	1.9671
raw sm20 L22S22	1.7014	0.1825	0.3955	-0.0881	1.9500
raw sm20 L25S25	1.6936	0.1702	0.3668	-0.0832	1.9262
raw sm20 L28S28	1.6890	0.1594	0.3418	-0.0788	1.9075
raw sm20 L10S20	1.5495	0.1856	0.4028	-0.1068	1.8151
raw sm20 L20S10	1.5342	0.1855	0.4027	-0.1041	1.7978
raw sm20 L15S25	1.6452	0.1811	0.3921	-0.0936	1.8965
raw sm20 L25S15	1.6443	0.1816	0.3934	-0.0921	1.8949
raw sm20 L10S15	1.5546	0.2062	0.4518	-0.1139	1.8463
raw sm20 L15S10	1.5412	0.2042	0.4468	-0.1146	1.8314
raw sm20 L20S25	1.6936	0.1793	0.3881	-0.0868	1.9381
raw sm20 L25S20	1.6902	0.1787	0.3867	-0.0865	1.9338
raw sm20 L5S10	1.5081	0.2241	0.4948	-0.1230	1.8244
raw sm20 L10S5	1.4571	0.2184	0.4809	-0.1225	1.7674
raw sm20 L5S15	1.3528	0.1663	0.3579	-0.0998	1.5940
raw sm20 L15S5	1.2231	0.1556	0.3332	-0.1191	1.4681
raw sm22 L30S30	1.6921	0.1542	0.3300	-0.0739	1.9017
raw sm22 L5S5	1.6955	0.3045	0.6963	-0.1225	2.0918
raw sm22 L8S8	1.5835	0.2493	0.5567	-0.1216	1.9240
raw sm22 L10S10	1.5978	0.2348	0.5209	-0.1183	1.9213
raw sm22 L12S12	1.6069	0.2223	0.4905	-0.1136	1.9144
raw sm22 L15S15	1.6282	0.2077	0.4553	-0.1056	1.9150
raw sm22 L18S18	1.6792	0.1991	0.4347	-0.0964	1.9506
raw sm22 L20S20	1.7095	0.1935	0.4215	-0.0907	1.9711
raw sm22 L22S22	1.7063	0.1844	0.3999	-0.0869	1.9559
raw sm22 L25S25	1.7022	0.1722	0.3715	-0.0818	1.9358
raw sm22 L28S28	1.7057	0.1621	0.3482	-0.0768	1.9254
raw sm22 L10S20	1.5604	0.1880	0.4084	-0.1021	1.8249
raw sm22 L20S10	1.5672	0.1922	0.4184	-0.1010	1.8351
raw sm22 L15S25	1.6207	0.1789	0.3872	-0.0928	1.8692
raw sm22 L25S15	1.6480	0.1830	0.3967	-0.0898	1.8983
raw sm22 L10S15	1.5662	0.2092	0.4587	-0.1095	1.8575
raw sm22 L15S10	1.5187	0.2026	0.4431	-0.1144	1.8071
raw sm22 L20S25	1.6819	0.1791	0.3875	-0.0862	1.9257
raw sm22 L25S20	1.6939	0.1803	0.3904	-0.0859	1.9386
raw sm22 L5S10	1.5651	0.2367	0.5255	-0.1187	1.8908
raw sm22 L10S5	1.4429	0.2179	0.4799	-0.1158	1.7477
raw sm22 L5S15	1.3782	0.1722	0.3715	-0.0960	1.6224
raw sm22 L15S5	1.2472	0.1603	0.3439	-0.1232	1.4999
raw sm24 L30S30	1.6952	0.1556	0.3331	-0.0748	1.9068
raw sm24 L5S5	1.6634	0.3010	0.6874	-0.1207	2.0549
raw sm24 L8S8	1.5910	0.2537	0.5674	-0.1235	1.9373
raw sm24 L10S10	1.6017	0.2379	0.5285	-0.1180	1.9281
raw sm24 L12S12	1.6247	0.2273	0.5025	-0.1131	1.9368
raw sm24 L15S15	1.6500	0.2124	0.4665	-0.1055	1.9415
raw sm24 L18S18	1.6905	0.2019	0.4414	-0.0981	1.9660
raw sm24 L20S20	1.7137	0.1953	0.4257	-0.0923	1.9782
raw sm24 L22S22	1.7146	0.1865	0.4050	-0.0881	1.9671
raw sm24 L25S25	1.7102	0.1743	0.3762	-0.0828	1.9465
raw sm24 L28S28	1.7043	0.1631	0.3503	-0.0779	1.9258
raw sm24 L10S20	1.5791	0.1921	0.4182	-0.1032	1.8486
raw sm24 L20S10	1.5424	0.1905	0.4144	-0.1033	1.8105
raw sm24 L15S25	1.6027	0.1777	0.3844	-0.0957	1.8522
raw sm24 L25S15	1.6817	0.1883	0.4091	-0.0905	1.9378
raw sm24 L10S15	1.5946	0.2154	0.4738	-0.1097	1.8923
raw sm24 L15S10	1.5498	0.2096	0.4598	-0.1119	1.8433
raw sm24 L20S25	1.6879	0.1808	0.3915	-0.0870	1.9339
raw sm24 L25S20	1.7115	0.1837	0.3982	-0.0877	1.9609
raw sm24 L5S10	1.5640	0.2390	0.5313	-0.1178	1.8913
raw sm24 L10S5	1.5043	0.2307	0.5109	-0.1092	1.8169
raw sm24 L5S15	1.4841	0.1888	0.4103	-0.0916	1.7416
raw sm24 L15S5	1.3471	0.1773	0.3834	-0.1142	1.6101
